"Nombre de la Dependencia"
"COORDINACIÓN GENERAL DE SEGURIDAD VIAL"
"COORDINADORA DE ZARAGOZA"
"DEPARTAMENTO DE ESTACIONÓMETROS MUNICIPALES"
"DIF -DESARROLLO INTEGRAL DE LA FAMILIA*"
"DIRECCIÓN  GENERAL DE DESARROLLO SOCIAL"
"DIRECCIÓN DE CATÁSTRO"
"DIRECCIÓN DE COMERCIO MUNICIPAL"
"DIRECCIÓN DE CONTROL DE TRÁFICO"
"DIRECCIÓN DE ECOLOGÍA"
"DIRECCIÓN DE EDUCACIÓN"
"DIRECCIÓN DE RASTROS MUNICIPALES"
"DIRECCIÓN DE SALUD"
"DIRECCIÓN DE VÍAS PÚBLICAS"
"DIRECCIÓN GENERAL DE ALUMBRADO PÚBLICO"
"DIRECCIÓN GENERAL DE CENTROS COMUNITARIOS"
"DIRECCIÓN GENERAL DE DESARROLLO ECONÓMICO"
"DIRECCIÓN GENERAL DE DESARROLLO URBANO"
"DIRECCIÓN GENERAL DE INFORMÁTICA Y COMUNICACIONES"
"DIRECCIÓN GENERAL DE OBRAS PÚBLICAS"
"DIRECCIÓN GENERAL DE PLANEACIÓN Y EVALUACIÓN"
"DIRECCIÓN GENERAL DE PROTECCIÓN CIVIL"
"DIRECCIÓN GENERAL DE SERVICIOS PÚBLICOS"
"ESTACIÓN CENTRO"
"ESTACIÓN ORIENTE"
"ESTACIÓN PONIENTE"
"ESTACIÓN UNIVERSIDAD"
"ESTACIÓN VALLE"
"IMIP-INSTITUTO MUNICPAL DE INVESTIGACIÓN Y PLANEACIÓN*"
"IMM-INSTITUTO MUNICIPAL DE LA MUJER*"
"INSTITUTO MUNICIPAL DEL DEPORTE DE JUÁREZ*"
"INSTITUTO PARA LA CULTURA CIUDAD JUÁREZ*"
"NORMATIVIDAD AMBIENTAL"
"OFICIALÍA MAYOR"
"OFICINA DE REGIDORES"
"OMEJ-OPERADORA MUNICIPAL DE ESTACIONAMIENTOS DE JUÁREZ*"
"PARQUES Y JARDINES"
"PRESIDENCIA MUNICIPAL"
"RASTRO MUNICIPAL"
"SECRETARÍA DE SEGURIDAD PÚBLICA MUNICIPAL, ESTACIÓN SUR"
"SECRETARÍA DEL  AYUNTAMIENTO"
"SECRETARÍA PARTICULAR"
"SECRETARÍA TÉCNICA"
"SUMA-DIRECCIÓN GENERAL DE ASENTAMIENTOS HUMANOS*"
"TESORERÍA MUNICIPAL"
