Año,Localidad,Municipio
2010,"9,855","9,857"
2011,"8,800","8,801"
2012,"7,429","7,431"
2013,"7,455","7,455"
2014,"7,579","7,580"
2015,"7,836",7836
2016,"8,302","8,302"
2017,"8,612","8,616"
2018,N/D,"9,533"
2019,N/D,"9,943"
2020,N/D,"17,576"
2021,N/D,"11,031"
2022,N/D,"10,681"
2023,N/D,"9,934"
2024,N/D,"10,246"
