Concepto,Estado (Viviendas particulares habitadas),Municipio (Viviendas particulares habitadas),Estado (Ocupantes de viviendas particulares),Municipio (Ocupantes de viviendas particulares)
Refrigerador,"950,541","380,316","3,276,915","1,355,088"
Lavadora,"851,134","335,375","2,991,426","1,225,180"
Automóvil o camioneta,"659,990","244,299","2,340,322","891,642"
Radio,"795,989","323,838","2,738,304","1,145,878"
Televisor,"964,587","388,621","3,318,700","1,376,545"
Computadora,"395,710","158,791","1,435,551","591,396"
Línea telefónica fija,"391,539","154,934","1,335,697","552,158"
Teléfono celular,"885,634","353,222","3,112,054","1,269,447"
Internet,"379,865","158,612","1,372,097","586,481"
Horno,"710,417","275,942","2,431,572","970,275"
Televisor de pantalla plana,"505,884","238,574","1,793,473","878,221"
Servicio de televisión de paga,"424,771","115,991","1,503,365","421,925"
Total,"910,198","342,814","3,291,665","1,263,348"
