Crucero vial,Total de incidentes,Atropello,Choque,Volcadura,Otros
Independencia - Don Manuel Talamás Camandari,35,3,31,0,1
Paseo de la Victoria - Teófilo Borunda,26,0,25,0,1
Paseo Triunfo de la República - Adolfo López Mateos,26,0,26,0,0
De las Torres - Don Manuel Talamás Camandari,23,2,21,0,0
Don Manuel Talamás Camandari - Miguel de la Madrid,23,0,22,1,0
Zaragoza - Tecnológico,22,0,22,0,0
Tecnológico - Pedro Rosales de León,22,0,22,0,0
Zaragoza - Independencia,22,3,17,2,0
Francisco Villarreal Torres - Manuel Gómez Morín,21,0,20,1,0
Independencia - Juárez a Porvenir,20,0,18,1,1
Francisco Villarreal Torres - Teófilo Borunda,20,0,19,1,0
Independencia - Santiago Troncoso,20,2,18,0,0
Zaragoza - De las Torres,20,1,19,0,0
Tecnológico - Ejército Nacional,19,0,18,1,0
Tecnológico - Manuel Gómez Morín,19,0,18,0,1
De las Torres - Santiago Troncoso,19,1,18,0,0
Tecnológico - Teófilo Borunda,18,0,17,0,1
Tecnológico - Barranco Azul,17,0,16,0,1
