Concepto,Total Viviendas,Viviendas con Agua entubada,Porcentaje Agua entubada,Viviendas con Energía eléctrica,Porcentaje Energía eléctrica,Viviendas con Drenaje,Porcentaje Drenaje
Estado,"1,033,658","989,703",95.75,"996,495",96.4,"966,085",93.46
Municipio,"394,254","388,339",98.5,"392,983",99.68,"389,095",98.69
