Año,Localidad,Municipio
2010,"2,582","2,582"
2011,"2,490","2,491"
2012,"2,677","2,682"
2013,"2,667","2,677"
2014,"2,755","2,758"
2015,"2,790","2,794"
2016,"2,939","2,951"
2017,"2,769","2,775"
2018,ND,"3,012"
2019,ND,"3,625"
2020,ND,"1,017"
2021,ND,"3,782"
2022,ND,"3,503"
2023,ND,"3,908"
2024,ND,"3,740"
