"Ciclo escolar",Escuelas,Aulas,Grupos,"Director sin grupo",Docente,"Administrativo y auxiliar",Otros,"Total Personal","Alumnos Masculino","Alumnos Femenino","Total Alumnos",Alumnos/Grupo,Alumnos/Docente,Aulas/Escuelas
"2007 - 2008",535,"6,751","6,027",675,"5,809",777,854,"8,115","94,300","90,196","184,496",31,32,13
"2008 - 2009",559,"6,867","6,192",698,"5,928",721,697,"8,044","94,545","90,056","184,601",30,31,12
"2009 - 2010",558,"6,933","6,074",683,"5,798",729,706,"7,916","93,091","88,285","181,376",30,31,12
"2010 - 2011",567,"5,973","6,064",691,"5,747",743,769,"7,950","91,271","86,730","178,001",29,31,11
"2011 - 2012",564,"6,834","6,033",672,"5,732",780,869,"8,053","90,032","85,457","175,489",29,31,12
"2012 - 2013",563,"6,777","6,008",528,"5,682",913,908,"8,031","89,720","85,067","174,787",29,31,12
"2013 - 2014",565,"6,878","5,984",540,"5,658",895,924,"8,017","89,353","85,606","174,959",29,31,12
"2014 - 2015",564,"6,758","5,718",528,"5,671",783,"1,018","8,000","88,911","85,178","174,089",30,31,12
"2015 - 2016",570,"6,810","5,743",529,"5,697",945,"1,026","8,197","88,831","85,454","174,285",30,31,12
"2016 - 2017",571,"6,779","5,757",534,"5,717",894,"1,199","8,344","88,558","85,525","174,083",30,30,12
"2017 - 2018",569,"6,854","5,767",530,"5,727",905,"1,283","8,485","87,743","85,140","172,883",30,30,12
"2018 - 2019",571,"6,781","5,811",528,"5,711",869,"1,470","8,578","86,787","84,001","170,788",29,30,12
"2019 - 2020",570,"6,873","5,800",517,"5,746",856,"1,464","8,583","86,117","83,160","169,277",29,29,12
"2020 - 2021",571,"6,873","5,740",478,"5,639",840,"1,529","8,486","83,748","80,894","164,642",29,29,12
"2021 - 2022",573,"7,189","5,771",498,"5,692",922,"1,572","8,684","83,593","80,383","163,976",28,29,13
"2022 - 2023",569,"6,904","5,751",511,"5,692",932,"1,584","8,719","82,895","80,008","162,903",28,29,12
"2023 - 2024",571,"6,918","5,782",518,"5,782",949,"1,621","8,870","82,073","79,607","161,680",28,28,12
"2024 - 2025",575,"6,895","5,816",526,"5,816",957,"1,710","9,009","81,059","78,224","159,283",27,27,12
