Año,Mayores de edad - Hombres,Mayores de edad - Mujeres,Menores de edad - Hombres,Menores de edad - Mujeres,Menores de edad - Total
2018,"57,183","44,551","3,898","6,913","1,821"
2020,"24,629","19,479",2463,"2,022",665
