Concepto,Estado (Viviendas particulares habitadas),Municipio (Viviendas particulares habitadas),Estado (Ocupantes de viviendas particulares),Municipio (Ocupantes de viviendas particulares)
Refrigerador,"831,670","326,382","3,005,801","1,217,506"
Lavadora,"738,826","283,083","2,721,368","1,081,260"
Automóvil o camioneta,"599,074","219,071","2,236,119","838,513"
Radio,"770,473","294,837","2,791,691","1,093,796"
Televisor,"850,557","334,745","3,068,345","1,241,872"
Computadora,"312,615","119,129","1,197,572","463,651"
Línea telefónica fija,"419,340","157,298","1,512,941","590,042"
Teléfono celular,"681,678","265,646","2,528,691","1,004,821"
Internet,"223,631","87,609","849,504","337,394"
Total,"910,198","342,814","3,291,665","1,263,348"
