Concepto,Viviendas habitadas - Estado,Viviendas habitadas - Municipio,Ocupantes - Estado,Ocupantes - Municipio
Casa1,"996,861","388,771","3,439,542","1,378,672"
Departamento en edificio,"2,714",560,"8,545","1,100"
Vivienda en vecindad o cuartería,"6,027","4,090","14,735","9,012"
Cuarto en la azotea de un edificio,37,33,96,87
Local no construido para habitación,173,56,270,56
Vivienda móvil,152,60,431,174
Refugio,117,0,303,0
No especificado,"27,577",684,"92,652","2,079"
Total,"1,033,658","394,254","3,556,574","1,391,180"
