Año,Localidad,Municipio
2010,"5,832","6,316"
2011,"6,065","6,251"
2012,"7,157","7,319"
2013,"7,301","7,537"
2014,"6,983","7,206"
2015,"7,906","8,166"
2016,"6,679","6,951"
2017,"5,420","5,835"
2018,ND,"5,401"
2019,ND,"6,107"
2020,ND,"3,731"
2021,ND,"5,663"
2022,ND,"5,036"
2023,ND,"5,560"
2024,ND,"6,292"
