Crucero vial,Total de incidentes,Atropello,Choque,Volcadura,Otros
Independencia - Don Manuel Talamás Camandari,57,1,55,1,0
Paseo de la Victoria - Teófilo Borunda,46,3,43,0,0
Tecnológico - Manuel Gómez Morín,43,0,43,0,0
De las Torres - Don Manuel Talamás Camandari,40,2,38,0,0
Zaragoza - De las Torres,35,0,35,0,0
Independencia - Juárez a Porvenir,34,1,33,0,0
De las Torres - Santiago Troncoso,34,0,34,0,0
Francisco Villarreal Torres  - Teófilo Borunda,33,0,33,0,0
Don Manuel Talamás Camandari - Miguel de la Madrid,30,1,27,2,0
Paseo Triunfo de la República - Adolfo López Mateos,28,1,27,0,0
Zaragoza - Tecnológico,28,2,24,0,2
Francisco Villarreal Torres  - Manuel Gómez Morín,28,1,26,0,1
Tecnológico - Teófilo Borunda,28,0,28,0,0
Juan Pablo II - Rafael Pérez Serna,27,0,26,0,1
Tecnológico - Pedro Rosales de León,27,0,27,0,0
Tecnológico - Barranco Azul,25,0,24,0,1
Independencia - Santiago Troncoso,25,1,24,0,0
Zaragoza - Independencia,23,0,23,0,0
Tecnológico - Ejército Nacional,20,2,17,0,1
