"Año, Mes",Total,Ambulancia,De carga ,Particular ,Patrulla,Transporte  Público (Ruteras y personal),Motocicleta ,Otros
2020/04,381,0,3,310,20,6,1,41
2020/05,451,0,7,381,21,16,0,26
2020/06,496,0,3,417,13,22,0,41
2020/07,661,1,7,563,24,22,0,44
2020/08,597,5,4,495,19,26,0,48
2020/09,534,1,9,450,13,26,0,35
2020/10,526,1,6,429,15,34,0,41
2020/11,450,0,4,370,13,32,0,31
2020/12,552,3,6,472,11,28,1,31
Total 2020,"6,339",15,67,"5,314",219,291,5,428
2021/01,567,0,2,495,17,27,0,26
2021/02,539,0,4,446,15,25,0,49
2021/03,646,0,1,546,11,26,1,61
2021/04,519,0,1,458,8,21,1,30
2021/05,550,1,5,459,19,32,0,34
2021/06,537,0,7,477,5,17,1,30
2021/07,556,0,4,472,6,27,0,47
2021/08,545,1,2,449,12,34,0,47
2021/09,529,2,4,444,6,34,0,39
2021/10,449,2,1,401,4,20,0,21
2021/11,418,0,1,330,13,24,0,50
2021/12,344,0,0,288,7,18,0,31
Total 2021,"6,199",6,32,"5,265",123,305,3,465
2022/01,246,0,9,190,9,17,5,16
2022/02,306,1,5,246,12,16,3,23
2022/03,332,1,4,272,15,13,3,24
2022/04,322,0,10,259,7,20,5,21
2022/05,342,0,20,270,7,16,9,20
2022/06,345,0,19,262,5,36,8,15
2022/07,293,0,15,241,8,17,6,6
2022/08,312,0,11,246,6,33,3,13
2022/09,340,1,17,269,5,25,9,14
2022/10,339,0,24,262,10,21,7,15
2022/11,357,2,22,296,5,14,7,11
2022/12,350,0,17,282,3,23,8,17
Total 2022,"3,884",5,173,"3,095",92,251,73,195
2023/01,465,1,37,373,10,26,7,11
2023/02,529,1,38,428,3,29,17,13
2023/03,558,1,22,452,8,37,18,20
2023/04,502,0,22,423,7,32,11,7
2023/05,564,1,38,451,9,29,20,16
2023/06,506,0,28,414,7,27,17,13
2023/07,516,1,36,425,5,28,10,11
2023/08,481,0,34,394,2,26,13,12
2023/09,548,0,29,439,10,30,15,25
2023/10,526,0,29,438,7,18,14,20
2023/11,494,0,31,397,3,31,17,15
2023/12,416,2,22,345,7,19,12,9
Total 2023,"6,105",7,366,"4,979",78,332,171,172
2024/01,491,0,19,408,7,23,12,22
2024/02,454,0,26,355,10,30,11,22
2024/03,513,1,36,420,10,22,11,13
2024/04,545,0,31,435,12,31,20,16
2024/05,599,2,33,489,10,30,16,19
2024/06,525,0,24,434,7,40,11,9
2024/07,539,0,31,448,5,23,20,12
2024/08,606,0,42,486,9,32,25,12
2024/09,512,1,29,426,9,23,7,17
2024/10*,141,0,7,118,2,4,5,5
2024/11*,207,0,7,180,1,7,8,4
2024/12,,,,,,,,
Total 2024,"5,132",4,285,"4,199",82,265,146,151
