Concepto,Total Viviendas,Viviendas con Agua entubada,Porcentaje Agua entubada,Viviendas con Energía eléctrica,Porcentaje Energía eléctrica,Viviendas con Drenaje,Porcentaje Drenaje
Estado,"1,145,185","1,125,206",98.26,"1,118,074",97.63,"1,105,223",96.51
Municipio,"449,167","445,394",99.16,"440,243",98.01,"446,184",99.34
