Variable,2003,2008,2013,2018
Unidades económicas,"15,073","14,107","13,573","15,331"
Personal ocupado total,"54,406","55,879","50,104","59,703"
Personal ocupado hombres,"31,899","30,668","27,459","32,225"
Personal ocupado mujeres,"22,507","25,211","22,645","27,478"
Horas trabajadas (miles de horas),"158,771","141,894","126,665","153,743"
Total de remuneraciones (millones de pesos),"1,528.70","1,642.40","1,477.50","2,481.20"
Total de gastos por consumo de bienes y servicios (millones de pesos),"20,861.40","32,666.30","40,215.20","57,804.90"
Total de ingresos por suministro de bienes y servicios (millones de pesos),"25,516.40","36,907.50","46,370.50","73,068.20"
Producción bruta total (millones de pesos),"6,722.00","7,829.40","10,512.40","22,142.30"
Valor agregado censal bruto (millones de pesos),"4,810.40","4,152.30","6,305.50","15,566.20"
