Año/Mes,Total nacional,Estado Chihuahua,Juárez,Otros municipios,Extra
2013/03,"2,063,753","289,555","63,640","203,320","22,595"
2013/04,"2,088,779","291,136","64,096","204,421","22,619"
2013/05,"2,101,791","291,754","64,695","204,389","22,670"
2013/06,"2,101,939","289,524","65,022","201,362","23,140"
2013/07,"2,107,456","291,224","64,760","203,752","22,712"
2013/08,"2,115,677","291,337","64,874","203,544","22,919"
2013/09,"2,126,035","291,622","65,643","203,349","22,630"
2013/10,"2,132,200","291,860","65,315","203,791","22,754"
2013/11,"2,133,695","293,795","66,866","204,349","22,580"
2013/12,"2,116,022","292,611","66,977","202,837","22,797"
2014/01,"2,115,931","297,288","69,157","206,196","21,935"
2014/02,"2,139,911","295,761","70,739","202,850","22,172"
2014/03,"2,157,598","297,906","70,423","205,255","22,228"
2014/04,"2,174,514","301,845","71,437","208,005","22,403"
2014/05,"2,193,646","303,089","68,383","212,148","22,558"
2014/06,"2,200,083","307,866","69,394","215,225","23,247"
2014/07,"2,210,982","307,994","68,192","216,561","23,241"
2014/08,"2,228,167","311,905","68,161","220,009","23,735"
2014/09,"2,246,104","314,175","68,304","222,178","23,693"
2014/10,"2,267,336","318,848","68,996","226,229","23,623"
2014/11,"2,271,957","320,856","69,391","227,598","23,867"
2014/12,"2,256,652","320,397","68,604","227,603","24,190"
2015/01,"2,258,341","322,003","68,427","229,519","24,057"
2015/02,"2,270,999","320,769","69,058","227,782","23,929"
2015/03,"2,295,189","328,399","70,238","234,449","23,712"
2015/04,"2,311,126","332,948","71,917","237,217","23,814"
2015/05,"2,314,617","333,005","70,686","238,688","23,631"
2015/06,"2,337,808","339,961","71,004","245,490","23,467"
2015/07,"2,350,118","346,397","71,657","251,507","23,233"
2015/08,"2,348,586","345,821","72,124","250,536","23,161"
2015/09,"2,349,413","346,848","72,571","250,958","23,319"
2015/10,"2,375,198","353,457","75,354","255,004","23,099"
2015/11,"2,376,254","352,141","74,112","255,146","22,883"
2015/12,"2,357,556","346,999","74,403","249,940","22,656"
2016/01p/,"2,357,205","344,418","72,859","247,754","23,805"
2016/02,"2,373,416","348,353","73,530","250,577","24,246"
2016/03,"2,390,801","350,824","74,740","251,778","24,306"
2016/04,"2,408,635","352,770","74,957","253,328","24,485"
2016/05,"2,424,369","360,414","77,434","256,705","26,275"
2016/06,"2,424,219","354,565","74,528","254,873","25,164"
2016/07,"2,429,702","354,987","73,400","256,069","25,518"
2016/08,"2,451,472","359,004","74,122","259,037","25,845"
2016/09,"2,475,935","364,661","73,881","264,595","26,185"
2016/10,"2,489,079","363,618","73,959","263,463","26,196"
2016/11,"2,499,070","366,666","75,218","265,006","26,442"
2016/12,"2,479,127","366,959","74,938","266,251","25,770"
2017/01,"2,483,721","364,758","74,916","263,909","25,933"
2017/02,"2,512,013","371,628","75,827","268,988","26,813"
2017/03,"2,540,616","375,114","76,032","272,221","26,861"
2017/04,"2,539,211","367,225","65,966","274,173","27,086"
2017/05,"2,557,958","378,562","66,188","279,972","32,402"
2017/06,"2,570,390","378,126","73,327","274,615","30,184"
2017/07,"2,577,555","378,835","73,532","275,352","29,951"
2017/08,"2,598,554","382,447","73,591","277,676","31,180"
2017/09,"2,600,072","384,184","77,165","273,920","33,099"
2017/10,"2,609,376","390,302","76,546","275,213","38,543"
2017/11,"2,614,158","382,884","74,302","275,687","32,895"
2017/12,"2,581,487","366,980","65,704","264,490","36,786"
2018/01,"2,593,911","370,756","66,515","267,513","36,728"
2018/02,"2,614,672","371,644","66,506","268,794","36,344"
2018/03,"2,634,734","371,294","66,675","268,761","35,858"
2018/04,"2,643,581","372,532","67,819","268,855","35,858"
2018/05,"2,668,338","376,205","69,872","270,772","35,561"
2018/06,"2,665,265","371,658","67,058","269,167","35,433"
2018/07,"2,661,858","370,609","67,444","268,295","34,870"
2018/08,"2,692,743","373,695","68,427","269,789","35,479"
2018/09,"2,700,654","377,812","69,530","272,725","35,557"
2018/10,"2,717,622","382,830","69,939","276,904","35,987"
2018/11,"2,714,288","382,430","69,721","277,247","35,462"
2018/12,"2,695,592","381,807","69,814","276,927","35,066"
2019/01,"2,707,113","386,629","71,216","280,674","34,739"
2019/02,"2,724,824","392,608","72,139","285,092","35,377"
2019/03,"2,728,877","393,096","74,965","281,866","36,265"
2019/04,"2,724,628","390,832","75,055","280,244","35,533"
2019/05,"2,746,986","394,884","77,945","280,589","36,350"
2019/06,"2,730,816","389,950","74,721","278,928","36,301"
2019/07,"2,733,245","389,035","74,495","277,980","36,560"
2019/08,"2,732,955","389,515","74,868","277,214","37,433"
2019/09,"2,723,167","387,649","74,666","275,914","37,069"
2019/10,"2,721,367","388,955","74,658","277,503","36,794"
2019/11,"2,705,810","389,870","75,111","277,707","37,052"
2019/12,"2,678,633","385,976","74,776","274,538","36,662"
2020/01,"2,675,722","385,465","75,059","274,856","35,550"
2020/02,"2,683,667","385,258","74,793","274,774","35,691"
2020/03,"2,670,674","386,617","75,507","275,562","35,548"
2020/04,"2,607,498","381,625","75,108","273,094","33,423"
2020/05,"2,569,547","371,577","71,765","268,186","31,626"
2020/06,"2,560,312","373,206","68,700","267,949","36,557"
2020/07,"2,608,647","386,924","69,777","281,827","35,320"
2020/08,"2,639,031","396,912","70,043","289,349","37,520"
2020/09,"2,665,102","403,430","71,299","294,786","37,345"
2020/10,"2,689,209","404,293","72,355","297,160","34,778"
2020/11,"2,695,964","409,761","72,977","300,782","36,002"
2020/12,"2,690,635","407,956","73,001","299,902","35,053"
2021/01,"2,702,116","412,244","73,198","303,573","35,473"
2021/02,"2,719,927","408,279","73,353","299,813","35,113"
2021/03,"2,743,522","410,093","73,579","301,314","35,200"
2021/04,"2,773,365","414,119","75,995","303,013","35,111"
2021/05,"2,762,443","410,833","74,564","300,873","35,396"
2021/06,"2,764,458","405,426","74,425","295,685","35,316"
2021/07,"2,785,461","408,399","75,465","297,123","35,811"
2021/08,"2,801,293","407,989","75,592","296,799","35,598"
2021/09,"2,815,235","411,172","75,844","299,250","36,078"
2021/10,"2,817,410","409,850","74,852","298,994","36,004"
2021/11,"2,815,828","410,770","73,849","300,028","36,893"
2021/12,"2,791,909","408,068","73,845","298,176","36,047"
2022/01,"2,807,754","413,570","75,555","302,545","35,470"
2022/02,"2,854,690","422,492","77,016","308,493","36,983"
2022/03,"2,882,127","431,580","78,684","316,876","36,020"
2022/04,"2,897,095","432,390","79,178","316,307","36,905"
2022/05,"2,896,587","434,838","80,039","318,207","36,592"
2022/06,"2,895,151","437,941","81,174","320,343","36,424"
2022/07,"2,889,256","432,225","81,406","314,640","36,179"
2022/08,"2,914,793","439,829","82,569","320,404","36,856"
2022/09,"2,929,320","439,334","83,334","318,724","37,276"
2022/10,"2,938,160","438,911","83,813","318,371","36,727"
2022/11,"2,930,897","438,603","84,242","317,285","37,076"
2022/12,"2,907,309","433,687","83,648","313,459","36,580"
2023/01,"2,913,726","438,079","84,106","317,859","36,114"
2023/02,"2,929,652","439,360","84,996","317,944","36,420"
2023/03,"2,951,611","442,198","85,670","320,157","36,371"
2023/04,"2,961,921","466,440","90,650","324,868","50,922"
2023/05,"2,978,608","466,752","88,385","325,882","52,485"
2023/06,"2,997,482","469,808","89,702","326,388","53,718"
2023/07,"2,987,801","470,821","88,115","324,037","58,669"
2023/08,"3,000,796","465,217","89,111","318,927","57,179"
2023/09,"2,977,435","453,175","89,557","306,829","56,789"
2023/10,"2,976,510","456,669","89,550","310,397","56,722"
2023/11,"2,962,295","447,226","89,693","301,085","56,448"
2023/12,"2,914,332","440,433","89,229","295,803","55,401"
2024/01,"2,906,617","429,788","88,428","289,759","51,601"
2024/02,"2,908,065","436,489","92,124","292,988","51,377"
2024/03,"2,906,292","435,831","93,006","291,286","51,539"
2024/04,"2,922,804","417,365","90,579","271,482","55,304"
2024/05,"2,940,558","435,601","92,538","286,941","56,122"
2024/06,"2,926,423","426,870","90,891","282,289","53,690"
2024/07,"2,944,162","413,058","91,307","284,776","36,975"
2024/08,"2,939,872","410,753","90,947","282,436","37,370"
2024/09,"2,932,291","409,750","93,096","278,203","38,451"
2024/10,"2,934,745","414,007","93,189","283,284","37,534"
2024/11,"2,913,335","411,223","92,496","280,976","37,751"
2024/12,"2,892,555","400,080","85,580","275,892","38,608"
2025/01,"2,885,627","395,556","85,594","271,229","38,733"
2025/02,"2,887,019","388,113","85,751","263,756","38,606"
2025/03,"2,891,964","385,450","84,921","261,882","38,647"
2025/04,"2,868,320","381,645","83,968","261,937","35,740"
