Año/Mes,Total nacional,Estado Chihuahua,Juárez,Otros municipios,Extra
2007/07,"1,912,745","288,638","46,718","213,096","28,824"
2007/08,"1,929,146","291,947","48,034","215,121","28,792"
2007/09,"1,940,574","294,777","49,078","216,940","28,759"
2007/10,"1,953,906","296,222","49,805","217,225","29,192"
2007/11,"1,936,734","293,482","47,785","216,618","29,079"
2007/12,"1,902,121","285,706","46,232","210,362","29,112"
2008/01,"1,904,487","287,056","44,319","213,257","29,480"
2008/02,"1,898,650","284,305","45,503","209,484","29,318"
2008/03,"1,908,266","284,284","46,055","208,471","29,758"
2008/04,"1,904,713","282,050","45,613","206,247","30,190"
2008/05,"1,912,141","281,083","45,411","206,522","29,150"
2008/06,"1,895,353","275,278","43,609","202,956","28,713"
2008/07,"1,886,648","271,183","42,441","200,473","28,269"
2008/08,"1,878,215","269,133","42,466","198,385","28,282"
2008/09,"1,853,093","263,259","42,607","193,420","27,232"
2008/10,"1,836,882","257,678","42,639","188,205","26,834"
2008/11,"1,797,309","252,721","42,694","184,023","26,004"
2008/12,"1,738,182","245,142","39,877","179,628","25,637"
2009/01,"1,685,887","230,151","38,666","167,658","23,827"
2009/02,"1,646,699","222,262","36,997","162,066","23,199"
2009/03,"1,606,469","214,401","35,903","155,997","22,501"
2009/04,"1,585,067","210,541","35,177","153,229","22,135"
2009/05,"1,582,781","209,673","34,593","153,295","21,785"
2009/06,"1,574,080","210,386","35,281","153,340","21,765"
2009/07,"1,576,995","210,432","35,305","153,269","21,858"
2009/08,"1,595,638","213,674","35,871","155,424","22,379"
2009/09,"1,618,951","216,566","37,135","156,801","22,630"
2009/10,"1,643,062","225,402","38,100","163,956","23,346"
2009/11,"1,650,893","227,584","38,132","166,229","23,223"
2009/12,"1,645,291","230,307","38,304","168,016","23,987"
2010/01,"1,675,644","233,993","43,540","170,169","20,284"
2010/02,"1,699,889","236,706","43,475","173,694","19,537"
2010/03,"1,720,896","240,688","44,306","176,639","19,743"
2010/04,"1,739,900","242,468","44,184","178,460","19,824"
2010/05,"1,772,076","247,653","45,613","182,098","19,942"
2010/06,"1,762,065","244,490","45,974","178,878","19,638"
2010/07,"1,792,927","248,250","47,450","180,777","20,023"
2010/08,"1,807,099","250,555","47,883","182,629","20,043"
2010/09,"1,818,263","251,692","48,313","183,239","20,140"
2010/10,"1,823,275","249,122","49,071","180,163","19,888"
2010/11,"1,821,265","246,254","48,989","177,235","20,030"
2010/12,"1,810,482","245,815","48,907","177,027","19,881"
2011/01,"1,803,927","244,678","49,639","176,571","18,468"
2011/02,"1,825,057","246,182","49,553","177,923","18,706"
2011/03,"1,840,933","249,707","50,931","179,241","19,535"
2011/04,"1,853,412","251,565","51,881","180,286","19,398"
2011/05,"1,858,861","251,821","51,567","180,914","19,340"
2011/06,"1,863,757","253,351","52,810","180,627","19,914"
2011/07,"1,862,584","250,403","52,243","178,154","20,006"
2011/08,"1,865,469","250,485","52,937","177,127","20,421"
2011/09,"1,880,450","252,328","52,905","178,118","21,305"
2011/10,"1,887,469","255,062","54,657","177,980","22,425"
2011/11,"1,897,573","254,585","54,769","177,665","22,151"
2011/12,"1,879,114","256,121","57,117","178,158","20,846"
2012/01,"1,904,986","258,361","58,203","179,698","20,460"
2012/02,"1,926,889","261,914","58,676","182,497","20,741"
2012/03,"1,943,224","264,186","59,381","183,896","20,909"
2012/04,"1,959,358","268,574","60,542","186,865","21,167"
2012/05,"1,973,740","271,684","61,649","188,727","21,308"
2012/06,"1,979,860","272,362","61,930","188,999","21,433"
2012/07,"1,982,074","270,920","61,293","187,105","22,522"
2012/08,"1,988,625","272,825","61,004","188,800","23,021"
2012/09,"1,996,959","275,430","61,502","190,789","23,139"
2012/10,"1,998,572","277,269","61,635","192,679","22,955"
2012/11,"2,002,081","280,381","62,243","195,748","22,390"
2012/12,"1,991,760","279,057","62,171","194,899","21,987"
2013/01,"2,019,679","278,545","62,362","194,408","21,775"
2013/02,"2,044,250","285,419","62,847","200,184","22,388"
