Variable,2003,2008,2013,2018
Unidades económicas,709,836,874,"1,097"
Personal ocupado total,"8,758","8,904","10,026","12,262"
Personal ocupado hombres,"6,775","6,659","7,614","8,882"
Personal ocupado mujeres,"1,983","2,245","2,412","3,380"
Horas trabajadas (miles de horas),"21,946","21,821","24,238","29,836"
Total de remuneraciones (millones de pesos),548.2,573.5,798.9,"1,086.80"
Total de gastos por consumo de bienes y servicios (millones de pesos),"9,882.60","17,446","12,639.30","30,426.20"
Total de ingresos por suministro de bienes y servicios (millones de pesos),"12,216.50","19,520.30","15,520.30","37,853.10"
Producción bruta total (millones de pesos),"3,228.50","3,535.20","4,754.50","10,302.20"
Valor agregado censal bruto (millones de pesos),"2,390.50","2,069.40","2,918.50","7,063.90"
