Año/Mes,Total nacional,Estado Chihuahua,Juárez,Otros municipios,Extra
2022/02,"5,196",488,110,323,55
2022/03,"5,200",490,110,325,55
2022/04,"5,201",490,111,324,55
2022/05,"5,203",491,110,325,56
2022/06,"5,205",491,110,325,56
2022/07,"5,193",490,110,324,56
2022/08,"5,195",488,108,324,56
2022/09,"5,160",486,109,322,55
2022/10,"5,156",486,109,322,55
2022/11,"5,154",486,109,322,55
2022/12,"5,153",485,109,321,55
2023/01,"5,158",485,107,323,55
2023/02,"5,156",484,107,322,55
2023/03,"5,176",484,107,322,55
2023/04,"5,176",484,107,322,55
2023/05,"5,182",483,107,321,55
2023/06,"5,194",483,107,321,55
2023/07,"5,224",480,107,319,54
2023/08,"5,230",480,107,319,54
2023/09,"5,200",480,107,319,54
2023/10,"5,180",481,106,321,54
2023/11,"5,160",480,106,320,54
2023/12,"5,167",480,106,320,54
2024/01,"5,168",480,106,320,54
2024/02,"5,171",481,106,321,54
2024/03,"5,168",481,106,321,54
2024/04,"5,180",479,105,319,55
2024/05,"5,200",478,106,318,54
2024/06,"5,210",478,106,318,54
2024/07,"5,215",480,105,320,55
2024/08,"5,220",480,106,319,55
2024/09,"5,195",483,108,320,55
2024/10,"5,197",483,108,320,55
2024/11,"5,200",484,108,321,55
2024/12,"5,210",486,103,322,61
2025/01,"5,215",486,103,322,61
2025/02,"5,225",489,103,325,61
2025/03,"5,212",489,102,326,61
2025/04,"5,229",495,103,331,61
