Registro,Dato,Fecha
Máxima en 24 horas,165.1 mm,9 de julio de 1881
Máxima mensual,223.7 mm,Julio de 1881
Máxima anual,464.5 mm,1884
Máx. días seguidos con 0.25mm o más,10 días,15-24 septiembre 1974
Mes más húmedo,44.5 mm,Agosto
Mes más seco,5.8 mm,Abril
Máx. días seguidos sin lluvia,118 días,3 feb - 31 mayo 2011
Máx. días con lluvia no mensurable,136 días,7 feb - 22 junio 1910
Año más seco,56.4 mm,1891
Normal anual,239.5 mm,
